Key,Label,Description
1,Cabinet,"The executive leadership of the government, consisting of officials appointed by the leader."
2,Cabinet solidarity,"In a parliamentary system, the principle that decisions of the cabinet must be supported by all of its members; by convention, those not supporting a decision must resign from the Cabinet."
3,Caretaker period (or caretaker convention),Period of time between shifts in administrations where the civil service outlines protocols for events during and immediately post-election; these protocols are referred to as the 'caretaker convention.'
4,Caucus,"Members of the elected legislative body belonging to the same political party, sometimes together with their counterparts in a different chamber, are collectively referred to as that party's caucus."
5,Caucus meeting,The closed meeting of the parliamentary members of a political party.
6,Civil service (or public service),"The body comprised of career government employees, ranging from entry level to senior, who are apolitical subject matter experts sworn to serve executives and political appointees equally, regardless of party affiliation. They typically remain in government to support successive executives."
7,Classified information,"Information a government controls that is not releasable to the public. Effective control of classified information includes having tiers of sensitivity of the information, standards for access, release and storage. Much national security information, for example, is classified."
8,Coalition,"A coalition refers to a situation where two or more parties join together to form a collective party authority in government under a negotiated policy agenda and agreement. There are many reasons parties may choose to form a coalition, including as a result of mandates by a nation's constitution, or in the event no single party has a clear working majority following a general election."
9,Confidence,"The support of more than half the members of the legislature for a government, which may be shown by voting on a particular major issue or for the executive in power."
10,Constituent assembly (or constitutional assembly),A group formed during a constitutional reformation process to adopt a constitution by inclusive engagement with government actors and members of the public.
11,Continuity in government,"Plans, processes, capabilities and procedures for ensuring governments have the means to maintain operations during transitions, or events that impact the health and security of a nation and its senior leaders. Readiness includes succession planning, government relocation preparedness and ensuring government documents and communications are survivable."
12,Dissolution,"The official term for the end of a parliament before a general election. When parliament is dissolved, every seat in the legislature becomes vacant. Members of parliament immediately revert to being members of the general public, and those who wish to become members again must stand for election as candidates."
13,The executive,"The executive means the elected (or appointed) leader of a nation, who serves as ultimate overseer of govermnet and/or parliament dependning on political context. Common terms for the executive include: president, prime minister, head of government, chairman of the government, president of the council of ministers, premier, chief minister, minister-president, governor, chancellor, excellency, right honourable, Grand Vizier (Pakistan), and Taoiseach (Ireland)."
14,Executive,"In some jurisdictions this term is used to describe the branch of government which controls departments, agencies, and ministries and carries out or administers law. Also referred to as the administration."
15,Executive orders,Directives issued by a president that establish official executive branch policy. They may carry the weight of law but are not permanent or validated by the legislative branch. Executive Orders (E.O.s) do not supersede law and can be rescinded by the next president.
16,Executive secretariat,"Coordinating bodies in an office of the executive and in all government ministries, departments and agencies designed to receive taskings, issue lead and coordinating response assignments, track for timeliness, completeness and format and submit taskings to senior leaders or requesting government entities."
17,Government,The government runs the country and has a responsibility in developing and implementing policy. It is also known as the executive. Government departments (ministries) and their agencies are responsible for putting government policy into practice.
18,Government assets,"Property and services funded by the government and used for official purposes only. Government assets are issued to political and career government officials and must be returned when a person is no longer in government service. Government assets range from official residences, vehicles, computers, phones and office supplies."
